Movie_Name,Year,Genre,Director,RunTime,Rating,Metascore,Review_url,NumofVotes
Miracle,2004,Biography  History,Gavin O'Connor,135 min,7.5,68,https://imdb.com/title/tt0349825/reviews,48879
Midnight Express,1978,Biography Crime ,Alan Parker,121 min,7.6,59,https://imdb.com/title/tt0077928/reviews,74593
The Greatest Story Ever Told,1965,Biography  History,George Stevens,260 min,6.6,0,https://imdb.com/title/tt0059245/reviews,9397
Malcolm X,1992,Biography  History,Spike Lee,202 min,7.7,73,https://imdb.com/title/tt0104797/reviews,87406
The Best of Enemies,2019,Biography  History,Robin Bissell,133 min,7.2,49,https://imdb.com/title/tt4807408/reviews,11480
Invictus,2009,Biography  History,Clint Eastwood,134 min,7.3,74,https://imdb.com/title/tt1057500/reviews,151581
All the President's Men,1976,Biography  History,Alan J. Pakula,138 min,7.9,84,https://imdb.com/title/tt0074119/reviews,104745
Philomena,2013,Biography Comedy ,Stephen Frears,98 min,7.6,77,https://imdb.com/title/tt2431286/reviews,95066
Blonde,2021,Biography  Family,Andrew Dominik,NA,NA,0,https://imdb.com/title/tt1655389/reviews,NA
The Report,2019,Biography Crime ,Scott Z. Burns,119 min,7.2,66,https://imdb.com/title/tt8236336/reviews,35399
Mirror,1975,Biography ,Andrei Tarkovsky,107 min,8.1,80,https://imdb.com/title/tt0072443/reviews,40972
The Lover,1992,Biography  Romance,Jean-Jacques Annaud,115 min,6.9,59,https://imdb.com/title/tt0101316/reviews,19544
An American Crime,2007,Biography Crime ,Tommy O'Haver,98 min,7.3,0,https://imdb.com/title/tt0802948/reviews,32874
Get on Up,2014,Biography  Music,Tate Taylor,139 min,6.9,71,https://imdb.com/title/tt2473602/reviews,23050
Milk,2008,Biography ,Gus Van Sant,128 min,7.5,84,https://imdb.com/title/tt1013753/reviews,165927
Changeling,2008,Biography Crime ,Clint Eastwood,141 min,7.7,63,https://imdb.com/title/tt0824747/reviews,241280
La Bamba,1987,Biography  Music,Luis Valdez,108 min,6.9,65,https://imdb.com/title/tt0093378/reviews,29147
Patch Adams,1998,Biography Comedy ,Tom Shadyac,115 min,6.8,25,https://imdb.com/title/tt0129290/reviews,106553
Free State of Jones,2016,Action Biography ,Gary Ross,139 min,6.9,53,https://imdb.com/title/tt1124037/reviews,53618
The Doors,1991,Biography  Music,Oliver Stone,140 min,7.2,62,https://imdb.com/title/tt0101761/reviews,84814
Professor Marston & the Wonder Women,2017,Biography  History,Angela Robinson,108 min,7.1,68,https://imdb.com/title/tt6133130/reviews,23786
The New World,2005,Biography  History,Terrence Malick,135 min,6.7,69,https://imdb.com/title/tt0402399/reviews,83451
Boy Erased,2018,Biography ,Joel Edgerton,115 min,6.9,69,https://imdb.com/title/tt7008872/reviews,33624
Finding Neverland,2004,Biography  Family,Marc Forster,106 min,7.6,67,https://imdb.com/title/tt0308644/reviews,199899
Elizabeth,1998,Biography  History,Shekhar Kapur,124 min,7.4,75,https://imdb.com/title/tt0127536/reviews,94008
Bloodsport,1988,Action Biography ,Newt Arnold,92 min,6.8,29,https://imdb.com/title/tt0092675/reviews,77849
Heavenly Creatures,1994,Biography Crime ,Peter Jackson,99 min,7.3,86,https://imdb.com/title/tt0110005/reviews,59258
The Bling Ring,2013,Biography Crime ,Sofia Coppola,90 min,5.6,66,https://imdb.com/title/tt2132285/reviews,84269
